ID_edukacije;naziv_edukacije;opis_edukacije;datum_odrzavanja;broj_mjesta;broj_posjetitelja;TIMOVI_ID_tima;MJESTA_ID_mjesta
118;Edukacija: Configurable background groupware;Interesting dinner two the painting other bad. Run itself investment indeed throw learn light. Nearly price world physical idea.;2026-05-18;97;0;437;24
119;Edukacija: Organic disintermediate protocol;Special image speak occur collection through. President game other voice wait need measure. Water reason everyone college what.;2026-05-27;16;0;47;228
120;Edukacija: Automated didactic hierarchy;"Player office PM federal expert chance. Can fly medical should shoulder.
End trip some join my occur. Break Mr participant admit her through. Take statement family development understand.";2026-05-18;11;0;239;285
121;Edukacija: Open-architected reciprocal encoding;"Magazine pay action goal air camera magazine.
At where occur else serious sell anyone. Box scientist town soon what begin. Sometimes conference mention.";2026-06-03;23;0;65;350
122;Edukacija: Synergized bifurcated paradigm;Like lay major board nor year push. Social do control sea. Tree choice opportunity upon hotel drug raise something. Until member history education class activity arrive.;2026-06-12;89;0;146;326
123;Edukacija: Configurable maximized functionalities;Spring half during sound surface our next. Then security picture possible culture face control. Other exist capital part make. Realize want last little apply.;2026-06-01;93;0;173;230
124;Edukacija: Cloned incremental frame;"Agreement cover note place. Support magazine pay pretty window happy protect. Church brother owner.
Test send particularly car size however enter.
Provide already fight deal.";2026-05-19;61;0;488;39
125;Edukacija: Streamlined modular info-mediaries;"Phone cold wrong middle tonight market eight. Left determine senior yet ten enjoy certainly. Film probably TV audience.
Develop mind matter our one entire. Stay road discussion door lead through.";2026-06-14;40;0;21;439
126;Edukacija: Intuitive composite functionalities;Air talk compare that election medical war senior. Same give station success budget. Themselves me when shake.;2026-05-29;44;0;448;399
127;Edukacija: Persevering client-driven artificial intelligence;West include different artist none. Movie tonight have police. Choice industry have seem among anything gas choose. Travel full explain matter offer.;2026-05-17;82;0;155;287
128;Edukacija: Distributed asymmetric orchestration;"Us with either trouble. Third help list able agreement.
Yourself play north would measure stop. Him fire how message need size.
National writer rock. Give much TV toward piece.";2026-06-10;46;0;47;358
129;Edukacija: Function-based radical capability;Wait safe senior condition. Pay idea debate light. Check blood beautiful rate. National boy begin enjoy.;2026-05-29;46;0;89;321
130;Edukacija: Ameliorated foreground software;Power kind just computer central born by. Purpose partner field. Issue American international this edge really national. Hit event Republican already just treatment.;2026-06-05;100;0;457;327
131;Edukacija: Exclusive executive flexibility;"War board son agency act rate. Material television heavy. Loss area catch whatever letter company tax help.
Agree real state anything star space watch night.";2026-05-29;41;0;161;366
132;Edukacija: Programmable regional definition;Research nature cause party significant. Defense important why window project pull high. Raise task wait surface wish property.;2026-05-23;54;0;397;77
133;Edukacija: Persistent national product;"Movement sense single. Mr something structure lose beat add any. Require dog establish nation rich kitchen guy low.
Cell able leg state. Type herself job hotel sister shake.";2026-05-20;79;0;104;328
134;Edukacija: Polarized client-server firmware;"Eat ahead truth never official because eight. Ahead history example nothing now. Color baby traditional avoid travel wind.
Physical hear wind well center country enjoy. Wish field lead.";2026-06-12;37;0;248;87
135;Edukacija: Versatile incremental knowledgebase;"Process man cold play. Direction manager big wrong dream.
Tax attorney behind security morning police change. Agree red meet ready.";2026-05-25;96;0;274;415
136;Edukacija: Digitized heuristic paradigm;Decide identify choice hope thus. Style cut wrong fact represent series service clearly. Claim sell feel foot community job your establish.;2026-05-28;70;0;366;184
137;Edukacija: Customizable transitional alliance;"Treat give box could already if. That method base dark.
Other common much cold standard Republican for. Dark father because push author capital what hour.";2026-05-21;61;0;338;252
138;Edukacija: Networked bi-directional middleware;"Radio network phone management very by figure. Since store next while us gas west.
Bring specific prevent follow place middle prevent. Star hospital arm skill read nor actually.";2026-05-31;83;0;285;64
139;Edukacija: Triple-buffered composite Graphical User Interface;"Court certainly sell have. Process professional city example agent forward. Say field morning condition program marriage director.
Commercial every no. But black increase rise.";2026-06-06;94;0;107;25
140;Edukacija: Realigned fault-tolerant array;Social record production fire. Travel news report design six. Home place then do finally physical cut.;2026-05-21;27;0;213;454
141;Edukacija: Decentralized exuding parallelism;"Federal leave now right know drive. Senior hospital race miss mother beyond.
Really eat recently between stop here general. Pull stand possible almost only.";2026-06-02;51;0;194;141
142;Edukacija: Multi-channeled hybrid firmware;Listen key east interest program if. Executive possible world trip pass power. Authority clear voice.;2026-05-21;91;0;234;487
143;Edukacija: Right-sized demand-driven migration;View far rock involve want up position five. Your development study can debate small into. Like sense himself.;2026-06-02;70;0;50;424
144;Edukacija: Cross-group attitude-oriented extranet;"Do able glass short support.
Fire third act sign career really picture life. May full far pass water guess my.
Space wear realize early. Scientist adult field yard feeling choice.";2026-06-03;20;0;175;266
145;Edukacija: Visionary bottom-line moderator;"Run economic write operation. Summer plant oil loss head together key. Teacher yeah agreement chair deal.
Institution building wear camera hospital difference. Describe more style kid type peace.";2026-05-17;81;0;67;453
146;Edukacija: Advanced local archive;"Member style authority north likely. Leader against interesting consumer color. Boy start teach control appear if under.
Like card need difference business.";2026-06-11;18;0;428;269
147;Edukacija: Polarized systemic groupware;"Production people office resource evidence. Improve recently whose production interest international.
Team note goal. Almost perform our scientist represent.";2026-06-13;69;0;492;20
148;Edukacija: Fundamental multi-tasking matrix;"Actually other politics spring pretty threat. Create society anyone until lawyer out.
Policy line throw seven future risk. Buy speech owner. Own role natural man interesting opportunity.";2026-05-26;96;0;456;268
149;Edukacija: Optimized explicit algorithm;"Trial member investment early build role receive. Dog common like.
Development point police avoid practice. Continue should thousand here finally.
Senior church yeah rest explain camera.";2026-06-09;86;0;143;38
150;Edukacija: User-centric methodical product;"Family price thing usually price way public instead.
Move speech training race sure first. Particularly prove carry join.
Apply also start measure entire.";2026-06-09;10;0;250;373
151;Edukacija: Self-enabling motivating moderator;"Part between car where PM up. But sister fill everything race.
Air sense now himself. Dream ahead require your federal though character.";2026-05-21;83;0;62;60
152;Edukacija: Phased systematic firmware;Her force try near no mother position. Member attention drop to. Such population such scientist.;2026-05-30;63;0;62;39
153;Edukacija: Optimized analyzing archive;"Candidate serve him red age contain. Address all perhaps challenge child. Finally cover me growth.
Film particular food should price lay democratic up.";2026-05-26;48;0;478;206
154;Edukacija: Multi-lateral reciprocal encryption;Building detail son stay value. Even cold resource throughout total like. Box value hour discussion local.;2026-05-21;42;0;131;196
155;Edukacija: Public-key 24/7 parallelism;"Tv hold political since knowledge mention guy. Go bar simply partner wrong truth black.
Successful second environment various. Couple strong opportunity how tend. Wear fight no hear if smile degree.";2026-06-12;93;0;42;496
156;Edukacija: Streamlined incremental architecture;"Democratic and edge blue fund from art if.
Above question future meeting fill theory. Rich new body situation she.
Democrat green body board hope go.";2026-05-25;23;0;299;439
157;Edukacija: Organic actuating migration;"Situation first citizen able. Cultural about way range nice sometimes Republican.
System cut century table name military. Because stand its trial get.";2026-06-04;74;0;124;31
158;Edukacija: Operative client-server policy;"Story each relate admit bed. Tv right draw couple ground.
Continue window point star white view. Design land expect follow upon large.
Current few outside street region people. Rule outside art.";2026-06-12;83;0;235;186
159;Edukacija: Multi-tiered modular approach;"Question imagine forget process. Body city feeling heart.
Education present morning move learn sing hard entire. Set trouble less leg sister exist. Feel last energy bag.";2026-05-17;48;0;89;375
160;Edukacija: Assimilated radical encoding;"Case behind late activity.
Box speak Congress rest. Probably arrive everybody now fish. Traditional improve apply east require success thousand.";2026-06-10;48;0;448;471
161;Edukacija: Integrated maximized protocol;"American what together above eat do grow. Performance person develop than fast TV.
Join dark generation point campaign. Want from staff onto get.";2026-06-04;72;0;109;492
162;Edukacija: Exclusive directional functionalities;"Natural create trip address.
Hear serious four director. Start several in six relate lot. Good wish year whose me material.";2026-05-30;95;0;265;470
163;Edukacija: Programmable demand-driven middleware;Something loss again maintain. Reason rock bit even tax begin stay. Teacher bed former property.;2026-05-21;79;0;440;334
164;Edukacija: Seamless discrete attitude;Consumer enjoy one friend management ok. Government some although economic. Social every clear mother understand happy.;2026-05-30;53;0;497;364
165;Edukacija: Programmable eco-centric standardization;"No white the fund method politics. Candidate increase sure modern.
Before security during drug word stop not. Concern since among affect above. Others finally guess establish.";2026-06-13;33;0;124;255
166;Edukacija: Secured analyzing toolset;Run here she voice officer nice country. Audience individual part foreign mind service. Executive remain reflect just.;2026-05-25;95;0;248;497
167;Edukacija: Extended secondary knowledge user;"Bill number character shoulder. Natural chair military indicate be. Car wait individual rock task.
Information the commercial Mr. Off food hold.
Process change those. Better two each executive only.";2026-06-10;47;0;287;346
