ID_označavanja;STUPNJEVI_UGROZENOSTI_ID_stupnja;POPULACIJE_ID_populacije;datum
425;6;297;2020-01-02
426;2;298;2012-05-26
427;13;299;2010-09-28
428;13;299;2014-04-05
429;14;300;2015-08-31
430;14;301;2019-07-04
431;8;302;2012-02-14
432;8;303;2016-11-09
433;13;304;2018-07-10
434;13;304;2014-05-16
435;1;305;2014-03-16
436;13;306;2019-10-12
437;1;307;2013-12-04
438;9;308;2021-10-26
439;5;309;2022-02-26
440;3;310;2023-06-30
441;3;311;2023-06-04
442;9;312;2016-03-28
443;2;313;2013-10-28
444;10;314;2019-08-24
445;7;315;2011-02-13
446;12;316;2019-01-24
447;4;317;2010-12-31
448;3;318;2021-05-21
449;4;319;2021-08-19
450;7;319;2022-08-14
451;13;320;2013-02-19
452;7;321;2019-08-28
453;2;321;2017-11-08
454;1;322;2019-06-12
455;6;323;2023-03-26
456;2;324;2023-03-27
457;9;324;2017-01-09
458;2;325;2010-09-01
459;4;326;2010-07-23
460;8;326;2019-07-24
461;10;327;2016-06-05
462;5;328;2023-01-21
463;3;329;2014-04-28
464;13;330;2013-04-01
465;10;331;2016-02-13
466;13;332;2014-07-02
467;13;333;2015-02-19
468;12;334;2014-01-17
469;2;335;2022-01-16
470;7;336;2017-07-03
471;14;336;2010-05-26
472;2;337;2013-07-19
473;3;337;2018-07-02
474;3;338;2010-04-01
475;1;339;2013-03-18
476;5;340;2022-01-21
477;14;341;2012-08-11
478;14;342;2023-07-11
479;12;342;2012-05-05
480;12;343;2016-04-21
481;4;343;2012-07-29
482;3;343;2020-11-13
483;4;344;2022-10-30
484;4;345;2021-06-30
485;1;346;2019-01-23
486;13;347;2014-12-05
487;3;348;2019-01-18
488;5;349;2022-06-30
489;8;350;2019-02-04
490;2;351;2018-01-28
491;7;352;2015-06-14
492;3;353;2023-07-17
493;9;354;2021-05-23
494;10;354;2012-05-20
495;11;355;2011-06-27
496;12;356;2020-05-27
497;9;357;2015-09-19
498;3;357;2013-07-09
499;5;357;2016-01-22
500;8;358;2022-08-22
501;2;359;2013-01-29
502;8;360;2015-09-12
503;9;361;2012-02-25
504;11;361;2023-05-16
505;5;362;2010-06-05
506;13;363;2017-08-16
507;8;364;2015-12-06
508;14;364;2014-11-13
509;14;365;2019-12-30
510;10;366;2020-03-23
511;13;366;2010-05-10
512;14;366;2019-08-01
513;5;367;2011-02-14
514;6;367;2023-03-15
515;4;368;2017-06-02
516;3;369;2015-06-10
517;4;370;2023-05-01
518;11;371;2014-06-05
519;7;371;2014-06-04
520;12;371;2013-12-10
521;13;372;2020-07-28
522;13;373;2016-08-12
523;9;374;2012-07-20
524;4;375;2012-09-29
525;1;375;2022-03-23
526;9;376;2016-05-17
527;1;377;2022-09-10
528;10;378;2016-10-22
529;6;378;2016-02-17
530;10;378;2018-06-18
531;1;379;2018-03-17
532;4;380;2023-05-25
533;10;380;2010-10-23
534;6;380;2012-01-07
535;6;381;2013-01-15
536;1;381;2019-01-05
537;14;382;2017-11-16
538;13;383;2015-07-27
539;11;384;2022-06-23
540;11;385;2010-06-28
541;3;386;2017-01-08
542;12;387;2019-10-10
543;7;388;2014-02-21
544;1;389;2018-02-20
545;9;389;2013-06-10
546;10;390;2017-08-08
547;4;391;2018-10-04
548;6;392;2015-07-29
549;12;393;2012-10-02
550;8;394;2016-08-25
551;14;395;2010-10-08
552;11;395;2017-10-10
553;2;396;2020-02-21
554;4;397;2017-05-28
555;5;398;2022-09-21
556;13;399;2021-06-01
557;13;399;2017-02-23
558;5;399;2018-09-12
559;14;400;2021-09-25
560;7;401;2016-01-19
561;8;402;2019-05-30
562;10;402;2014-06-19
563;9;402;2015-05-13
564;3;403;2011-08-05
565;13;403;2015-07-04
566;4;404;2020-01-08
567;1;405;2020-11-17
568;3;406;2023-11-25
569;8;407;2023-11-03
570;3;407;2021-08-03
571;5;407;2011-09-25
572;9;408;2021-04-08
573;12;409;2019-03-01
574;1;409;2017-07-31
575;12;410;2011-08-04
576;5;411;2012-10-05
577;12;412;2017-11-04
578;9;413;2013-04-10
579;11;414;2014-05-04
580;13;415;2023-09-21
581;7;416;2013-08-31
582;13;417;2021-03-03
583;9;418;2015-07-23
584;11;419;2016-05-27
585;12;419;2015-01-03
586;13;420;2019-12-08
587;7;421;2014-03-18
588;8;421;2015-11-23
589;2;421;2019-02-03
590;1;422;2014-03-01
591;7;423;2012-12-14
592;9;423;2017-12-22
593;7;424;2016-05-30
594;9;425;2012-09-27
595;5;426;2019-09-07
596;11;427;2015-04-30
597;10;428;2016-10-22
598;4;428;2010-10-31
599;14;429;2019-09-18
600;5;430;2018-11-17
601;7;430;2020-07-13
602;13;430;2019-04-05
603;3;431;2020-01-20
604;11;431;2014-05-05
605;3;432;2022-06-04
606;1;432;2015-11-20
607;10;433;2018-02-05
608;3;434;2011-04-22
609;7;434;2016-10-31
610;9;435;2022-05-31
611;6;435;2012-07-08
612;14;436;2018-02-15
613;9;437;2017-05-01
614;1;438;2013-10-09
615;7;439;2017-08-27
616;12;440;2017-01-05
617;7;441;2010-11-22
618;1;442;2013-08-29
619;4;443;2022-11-27
620;13;444;2013-07-07
621;10;445;2021-07-30
622;6;446;2018-07-24
623;4;447;2011-02-25
624;11;448;2020-07-03
625;10;448;2015-09-09
626;9;449;2016-12-24
627;14;450;2023-07-22
628;5;451;2016-07-13
629;10;451;2011-11-23
630;9;451;2012-09-23
631;5;452;2014-03-12
632;13;453;2015-03-21
633;1;454;2013-04-09
634;2;454;2020-04-19
635;11;455;2018-12-06
636;12;455;2018-04-25
637;14;455;2018-10-23
638;5;456;2021-01-01
639;11;457;2020-07-20
640;4;457;2017-05-15
641;11;458;2016-02-19
642;11;458;2011-02-26
643;6;459;2013-04-04
644;12;459;2023-03-09
645;4;459;2017-10-21
646;12;460;2016-01-05
647;7;461;2018-12-21
648;4;462;2023-08-12
649;7;463;2023-05-01
650;11;464;2019-12-28
651;11;465;2012-09-05
652;1;466;2023-03-07
653;7;467;2020-02-13
654;1;468;2021-04-23
655;10;469;2020-05-29
656;4;470;2019-07-28
657;11;471;2021-12-26
658;12;472;2023-11-15
659;11;472;2010-12-13
660;7;472;2018-11-04
661;12;473;2022-05-09
662;11;474;2018-02-27
663;10;475;2011-05-27
664;7;475;2016-01-07
665;5;476;2017-03-10
666;3;477;2010-07-05
667;10;477;2015-11-03
668;6;478;2012-10-09
669;11;479;2012-01-24
670;11;479;2011-01-27
671;3;480;2016-02-11
672;13;481;2021-04-07
673;12;481;2016-02-12
674;11;482;2017-04-14
675;9;482;2016-05-06
676;4;483;2018-02-20
677;5;484;2018-09-01
678;13;485;2023-06-11
679;1;486;2010-06-23
680;13;487;2012-09-06
681;14;487;2013-02-04
682;6;488;2022-10-22
683;1;489;2021-01-27
684;4;490;2017-05-18
685;2;491;2019-11-29
686;3;492;2010-04-18
687;9;493;2012-11-26
688;12;493;2019-01-11
689;12;494;2023-04-28
690;5;495;2021-08-23
691;14;496;2021-05-31
692;11;497;2021-02-11
693;11;498;2014-01-02
694;11;499;2011-06-03
695;2;499;2012-07-16
696;12;500;2020-10-07
697;6;500;2011-05-05
698;3;501;2017-03-30
699;3;502;2012-03-16
700;14;503;2021-01-08
701;11;503;2021-12-08
702;3;503;2023-09-03
703;3;504;2011-11-23
704;13;505;2012-05-10
705;3;506;2017-12-20
706;8;506;2012-11-13
707;2;506;2019-09-27
708;5;507;2022-03-05
709;7;508;2021-07-25
710;13;509;2019-07-09
711;13;510;2015-08-12
712;9;511;2014-09-29
713;7;512;2023-05-05
714;10;513;2014-02-18
715;6;513;2017-06-30
716;3;513;2021-07-18
717;10;514;2018-06-17
718;5;515;2012-09-22
719;10;516;2010-10-01
720;11;516;2014-12-22
721;7;517;2020-04-30
722;11;517;2010-05-21
723;7;518;2010-02-01
724;14;519;2011-12-15
725;3;520;2010-11-12
726;3;521;2012-11-17
727;7;521;2014-05-29
728;6;522;2010-05-14
729;9;523;2010-08-29
730;1;524;2021-03-02
731;10;525;2011-10-13
732;12;526;2018-05-17
733;1;527;2010-01-19
734;10;528;2020-04-30
735;5;529;2018-12-11
736;2;530;2023-10-21
737;14;531;2010-11-16
738;12;531;2019-12-26
739;9;532;2021-11-11
740;11;533;2012-09-27
741;14;533;2018-05-28
742;3;534;2010-05-01
743;5;535;2022-09-06
744;11;535;2011-04-28
745;14;536;2018-03-15
746;6;537;2021-07-18
747;7;538;2013-11-07
748;1;538;2012-07-14
749;2;539;2013-11-23
750;12;539;2010-04-07
751;4;540;2012-06-19
752;7;541;2015-10-02
753;11;542;2014-12-23
754;11;543;2020-08-23
755;12;544;2015-09-26
756;6;544;2016-09-05
757;5;545;2015-05-31
758;3;546;2012-09-23
759;2;547;2018-01-09
760;11;547;2017-03-18
761;6;548;2017-11-21
762;4;549;2012-01-16
763;10;550;2019-06-03
764;7;551;2013-04-15
765;5;551;2019-11-11
766;3;551;2012-02-11
767;1;552;2022-09-09
768;2;552;2018-02-16
769;4;552;2015-09-13
770;6;553;2012-10-03
771;1;554;2012-01-26
772;5;555;2012-06-18
773;14;555;2014-06-15
774;7;555;2014-09-13
775;13;556;2018-05-13
776;3;556;2021-09-06
777;2;556;2010-05-20
778;13;557;2019-06-23
779;7;558;2019-10-13
780;8;559;2013-01-13
781;6;559;2013-05-19
782;10;560;2013-06-02
783;14;560;2016-12-07
784;10;561;2016-06-10
785;11;562;2012-02-10
786;1;562;2013-02-07
787;2;562;2017-11-24
788;5;563;2010-02-01
789;5;564;2010-02-15
790;10;564;2011-04-30
791;7;565;2022-06-27
792;9;566;2015-12-07
793;11;566;2023-12-26
794;12;567;2011-06-10
795;3;567;2022-04-04
796;9;568;2019-07-28
797;12;569;2015-08-26
798;6;570;2013-08-26
799;9;571;2012-10-12
800;10;572;2016-10-19
801;9;573;2020-08-04
802;3;574;2015-04-28
803;3;575;2021-01-08
804;3;576;2011-03-28
805;7;577;2020-12-14
806;3;578;2022-08-25
807;2;578;2014-02-19
808;6;579;2010-11-29
809;10;580;2013-04-10
810;2;581;2017-12-17
811;5;582;2018-06-04
812;11;583;2022-05-24
813;7;584;2023-03-21
814;10;585;2021-01-29
815;12;586;2012-10-24
816;5;587;2010-11-04
817;2;588;2010-08-09
818;3;589;2011-12-14
819;2;590;2012-10-12
820;11;590;2011-07-07
821;9;591;2021-08-02
822;5;592;2012-01-29
823;5;592;2015-07-13
824;3;593;2011-09-28
825;10;593;2022-01-19
826;4;594;2014-06-16
827;6;594;2016-01-20
828;7;595;2017-01-08
829;2;596;2015-01-11
830;14;597;2017-03-14
831;1;598;2015-02-15
832;14;598;2013-07-01
833;10;599;2016-12-07
834;6;599;2015-08-15
835;2;600;2022-04-16
836;3;601;2018-03-06
837;8;602;2023-07-05
838;14;602;2013-04-18
839;12;602;2020-04-04
840;5;603;2012-12-09
841;8;603;2016-08-29
842;9;603;2021-04-02
843;4;604;2017-02-09
844;12;604;2013-08-13
845;2;604;2012-02-03
846;8;605;2011-03-17
847;11;605;2011-09-06
848;5;606;2013-04-11
849;6;606;2017-04-17
850;7;607;2017-05-15
851;12;608;2021-11-11
852;8;608;2017-05-20
853;2;609;2012-03-29
854;4;610;2017-07-06
855;1;611;2018-06-04
856;7;611;2016-07-03
857;2;612;2016-02-22
858;8;613;2017-04-08
859;5;613;2019-03-17
860;7;614;2017-10-01
861;5;615;2021-01-05
862;5;616;2022-09-25
863;8;617;2022-11-11
864;12;618;2023-07-13
865;7;619;2018-05-02
866;7;620;2015-06-05
867;9;621;2011-07-16
868;2;621;2022-03-19
869;1;622;2020-05-06
870;12;623;2010-05-09
871;7;624;2015-06-23
872;11;624;2012-06-06
873;8;624;2022-03-07
874;1;625;2019-03-30
875;13;626;2012-01-11
876;1;627;2014-03-27
877;6;628;2013-06-14
878;6;629;2012-03-26
879;4;630;2019-09-29
880;3;630;2010-12-03
881;9;631;2019-10-03
882;7;631;2012-05-10
883;1;631;2010-05-20
884;11;632;2012-03-06
885;7;633;2023-01-08
886;8;633;2019-06-09
887;11;634;2017-07-12
888;13;635;2017-03-01
889;2;635;2014-01-03
890;13;636;2020-03-15
891;9;637;2020-06-04
892;1;637;2017-11-18
893;3;638;2016-06-18
894;7;639;2017-02-11
895;5;640;2023-04-16
896;13;640;2019-12-22
897;9;641;2016-09-27
898;14;641;2021-04-11
899;7;641;2017-05-22
900;12;642;2019-10-24
901;14;643;2020-04-11
902;1;644;2020-08-24
903;8;645;2016-04-16
904;13;646;2020-12-13
905;6;646;2010-12-15
906;1;647;2019-06-09
907;11;648;2022-12-31
908;7;649;2014-09-06
909;3;650;2014-05-09
910;3;650;2011-01-19
911;7;651;2011-11-08
912;10;652;2021-05-26
913;6;653;2015-05-20
914;3;654;2014-04-20
915;2;654;2018-05-27
916;11;654;2017-01-27
917;8;655;2014-12-26
918;3;656;2013-01-17
919;9;657;2021-07-15
920;10;658;2017-12-05
921;4;659;2015-05-08
922;12;660;2015-03-20
923;12;661;2010-02-19
924;1;661;2010-02-10
925;1;661;2010-03-05
926;3;662;2020-08-06
927;10;663;2023-09-18
928;6;664;2020-10-06
929;8;665;2023-01-04
930;9;665;2020-06-28
931;4;666;2014-04-29
932;11;667;2017-03-30
933;4;667;2018-08-12
934;9;668;2019-08-30
935;13;669;2011-12-07
936;1;669;2023-10-09
937;7;670;2023-01-20
938;3;671;2023-01-06
939;13;672;2012-05-29
940;1;673;2021-07-28
941;11;674;2022-06-14
942;6;674;2023-10-11
943;13;675;2012-12-12
944;6;675;2021-04-14
945;7;676;2014-01-06
946;9;677;2015-12-03
947;5;678;2018-01-27
948;7;679;2021-04-05
949;10;679;2015-10-23
950;13;680;2012-02-16
951;1;681;2022-05-18
952;4;681;2015-04-29
953;11;682;2014-11-18
954;8;683;2020-09-02
955;4;684;2018-07-17
956;1;684;2018-02-17
957;11;685;2013-07-13
958;2;685;2014-05-09
959;14;686;2018-01-26
960;13;687;2021-11-05
961;2;688;2010-10-10
962;6;689;2015-09-12
963;2;690;2018-12-26
964;10;690;2013-09-22
965;10;691;2014-12-27
966;12;692;2012-08-31
967;9;693;2016-07-10
968;3;694;2021-04-16
969;11;694;2018-02-08
970;12;694;2014-08-22
971;6;695;2012-03-14
972;11;695;2022-01-06
973;8;695;2019-05-01
974;13;696;2022-09-07
975;5;696;2018-11-29
976;3;697;2015-12-16
977;2;698;2020-06-14
978;7;698;2017-07-16
979;1;698;2012-12-22
980;8;699;2023-11-15
981;3;700;2022-12-04
982;7;701;2018-10-11
983;8;702;2023-08-07
984;8;702;2023-07-13
985;1;703;2021-05-04
986;9;704;2013-07-17
987;8;704;2023-04-16
988;13;704;2023-06-14
989;6;705;2023-01-08
990;8;706;2023-01-13
991;14;707;2013-12-07
992;6;707;2010-08-30
993;6;708;2022-02-16
994;5;708;2010-04-24
995;13;709;2018-09-27
996;1;709;2019-10-16
997;14;710;2015-01-14
998;8;710;2018-09-17
999;5;711;2017-10-06
1000;6;711;2019-10-10
1001;2;712;2013-10-30
1002;10;713;2020-09-05
1003;13;714;2010-04-20
1004;8;715;2014-04-27
1005;1;715;2013-10-22
1006;5;716;2011-05-23
1007;3;716;2019-01-03
1008;6;717;2021-01-22
1009;3;717;2012-01-28
1010;5;718;2018-05-31
1011;5;719;2023-03-12
1012;14;719;2018-04-15
1013;7;720;2020-02-05
1014;4;720;2015-03-11
1015;11;721;2018-05-20
1016;7;721;2021-08-08
1017;13;722;2019-12-12
1018;8;723;2022-08-30
1019;8;723;2019-05-05
1020;7;724;2020-02-06
1021;4;725;2016-08-27
1022;3;726;2015-09-21
1023;5;726;2014-08-27
1024;12;727;2020-01-03
1025;4;728;2016-12-25
1026;8;729;2023-04-07
1027;14;730;2017-02-15
1028;10;730;2012-12-27
1029;2;731;2010-08-30
1030;8;731;2014-05-04
1031;5;731;2021-07-26
1032;5;732;2020-01-20
1033;9;733;2016-08-18
1034;11;734;2018-09-15
1035;13;734;2017-08-04
1036;11;735;2011-11-14
1037;8;736;2016-02-21
1038;2;737;2018-09-27
1039;13;738;2012-11-19
1040;9;739;2020-12-06
1041;3;740;2017-11-21
1042;4;741;2018-12-13
1043;2;742;2023-12-08
1044;5;743;2016-01-13
1045;4;743;2018-04-18
1046;4;744;2015-08-12
1047;14;744;2011-10-30
1048;4;745;2014-02-14
1049;14;746;2014-07-08
1050;9;746;2015-04-03
1051;3;746;2021-11-07
1052;6;747;2019-03-09
1053;13;747;2020-12-12
1054;5;748;2010-02-21
1055;9;749;2011-02-10
1056;14;749;2017-04-21
1057;8;750;2020-07-31
1058;7;751;2022-11-04
1059;10;751;2011-07-02
1060;12;752;2013-01-23
1061;8;753;2021-12-22
1062;11;754;2014-08-15
1063;9;755;2018-03-08
