PK_ID_meduodnosa;POPULACIJE_ID_populacije1;POPULACIJE_ID_populacije2;INTERAKCIJE_ID_interakcije
295;47305;32443;3
296;23738;44857;2
297;4241;34147;5
298;3733;17123;5
299;25997;3743;4
300;32213;34299;4
301;44070;4563;3
302;177;36825;6
303;21525;31536;1
304;43957;3320;3
305;27498;28685;1
306;49149;42811;1
307;10779;10419;5
308;10027;48410;5
309;27556;29659;2
310;3858;8697;3
311;41927;7080;5
312;46823;24941;2
313;23713;15445;5
314;18639;14189;6
315;44008;12483;3
316;48022;49877;6
317;12955;20659;3
318;10970;12579;1
319;27996;912;6
320;42201;9873;1
321;10788;5271;1
322;7829;19033;1
323;18711;14226;1
324;43838;44748;3
325;7082;2243;5
326;48668;41256;6
327;36457;590;4
328;35905;49278;4
329;18086;23317;1
330;4435;874;3
331;40148;36865;5
332;43345;30303;5
333;29097;38592;1
334;37428;21128;3
335;43242;10351;2
336;2068;2744;1
337;22941;42162;3
338;7612;1557;2
339;41645;10405;4
340;42587;32379;2
341;34062;25258;6
342;13549;3039;4
343;31283;41189;1
344;45027;26004;3
345;40016;19438;4
346;12065;29967;3
347;41103;30990;6
348;10541;35686;1
349;33047;42424;1
350;22221;21896;2
351;35680;32422;4
352;40666;8851;2
353;41467;2418;4
354;37101;6935;6
355;24755;43736;6
356;41714;14843;3
357;18039;6766;5
358;2987;45172;4
359;33951;12830;1
360;36357;23601;5
361;38515;42752;2
362;35759;4828;4
363;9119;29557;4
364;11941;45402;4
365;48495;27357;4
366;18328;41991;4
367;24458;13094;4
368;41496;2894;5
369;20669;35375;2
370;2765;22908;4
371;42311;43892;3
372;45375;9472;3
373;37943;37746;3
374;37688;27768;2
375;38740;31399;2
376;26623;3342;1
377;15949;40940;3
378;1419;49395;2
379;48546;4687;4
380;11847;26622;6
381;39340;13401;1
382;29631;39189;4
383;3940;36092;1
384;24562;30067;2
385;13487;28930;3
386;36591;23872;6
387;39045;41019;3
388;39589;31366;4
389;883;23128;2
390;2393;14945;1
391;39523;28721;6
392;6778;35916;4
393;2831;13090;5
394;43631;20005;5
395;23239;25740;4
396;4565;46126;6
397;27454;33252;4
398;28122;37933;1
399;28240;28440;3
400;28226;6019;6
401;21912;1290;6
402;31488;46887;3
403;37764;40834;6
404;17238;20232;2
405;1522;47529;4
406;22214;6132;3
407;47877;48973;6
408;13225;40444;5
409;48244;16212;2
410;1880;33685;2
411;38633;12441;1
412;13304;20092;2
413;664;32168;4
414;29621;35306;5
415;17684;6592;1
416;3366;47732;4
417;26415;20886;2
418;35144;13089;4
419;9360;40065;2
420;12061;13127;4
421;12936;16092;6
422;49054;42902;3
423;43010;6129;2
424;13774;37676;6
425;35447;21082;2
426;14184;4389;6
427;39248;29345;5
428;37555;41724;1
429;47548;607;5
430;15350;48054;4
431;34468;1437;5
432;47261;45942;5
433;2974;46358;6
434;17394;21971;4
435;42378;34581;2
436;18704;34017;4
437;30971;31753;6
438;4777;45209;1
439;21566;33765;3
440;6780;48227;3
441;7468;5959;6
442;19074;38981;3
443;48647;27284;2
444;20431;43687;6
445;22471;10154;1
446;3196;8349;5
447;15979;17417;4
448;33710;44872;6
449;49690;32389;2
450;13389;33215;5
451;23667;25216;2
452;43941;16912;3
453;23550;47660;1
454;36712;1871;6
455;48124;14806;2
456;42719;1549;5
457;1539;41426;3
458;12728;35397;5
459;38320;46620;6
460;7923;43165;5
461;17026;21678;2
462;47479;36754;5
463;7653;16509;5
464;13176;6956;1
465;19132;8808;4
466;1617;13058;5
467;27162;38579;6
468;23319;44990;1
469;18024;17431;1
470;1168;41532;2
471;25326;1587;1
472;8207;14302;4
473;17731;20786;4
474;47188;35934;4
475;17028;18665;4
476;48801;5887;4
477;30502;14774;4
478;6273;48666;6
479;30869;21483;3
480;26131;13032;2
481;228;10378;4
482;25175;39907;5
483;29665;42286;2
484;30554;18551;6
485;24768;20474;2
486;42868;12965;6
487;43789;35840;4
488;5118;17242;2
489;33510;23593;2
490;48628;24309;5
491;7980;46894;6
492;48035;3528;5
493;8045;32853;3
494;8312;18542;1
495;21966;23692;1
496;26013;32559;4
497;49664;2545;1
498;20514;9421;3
499;40140;18864;1
500;12393;45913;2
501;13072;12321;3
502;41616;33770;1
503;2239;18767;4
504;27128;29565;4
505;25972;45020;4
506;37918;29959;6
507;7091;2162;6
508;29250;34574;5
509;21779;48799;2
510;36995;48875;2
511;43738;27234;2
512;13631;24408;5
513;5775;8329;6
514;17442;48294;6
515;1976;1073;2
516;29335;561;3
517;39532;11306;5
518;1975;9956;4
519;28922;7811;1
520;11799;27586;5
521;21077;15094;2
522;26569;4447;2
523;38486;49035;4
524;2959;10911;4
525;48501;47951;1
526;6185;30057;5
527;1928;17084;6
528;625;45162;1
529;2968;13937;6
530;18330;20188;3
531;34299;34610;1
532;14851;10081;1
533;35307;30323;6
534;49571;43743;4
535;17338;6198;6
536;24336;17113;3
537;7047;37137;1
538;17291;21532;4
539;45348;48076;2
540;7218;36168;4
541;23817;15648;6
542;27884;17720;1
543;21757;19730;4
544;18901;31487;5
545;4828;42354;2
546;12242;45110;5
547;1842;32576;4
548;47240;2294;2
549;39095;25337;2
550;48433;587;2
551;2111;22947;1
552;31417;23953;1
553;33407;47808;6
554;40244;28596;3
555;15018;31709;1
556;34193;28189;2
557;8255;34672;2
558;10448;38606;3
559;46272;29540;1
560;49265;47667;6
561;11159;488;3
562;48052;30351;3
563;3729;14191;2
564;21409;21026;6
565;26730;26837;3
566;24275;11049;4
567;32312;1877;3
568;15689;27719;4
569;32835;45356;3
570;13963;48630;6
571;22508;19886;3
572;24503;5906;1
573;17621;42866;6
574;39793;49256;5
575;6961;27996;5
576;13919;11453;4
577;10148;31551;6
578;7517;46045;1
579;11434;30485;2
580;21425;38930;1
581;447;27414;2
582;46534;962;4
583;5524;11961;4
584;30309;29348;1
585;39440;8291;4
586;19571;15771;2
587;29555;35723;6
588;28843;834;1
589;42415;25876;2
590;14582;18791;5
591;43608;14337;1
592;32539;13745;1
593;3382;39653;6
594;46997;6693;2
595;39422;27199;2
596;2022;27773;6
597;5130;13063;6
598;7321;36181;4
599;41451;32263;6
600;15762;30495;4
601;13160;37140;4
602;40343;4372;3
603;12707;11390;4
604;17869;35737;2
605;5045;38625;2
606;39312;39135;2
607;31119;7250;2
608;4418;13202;3
609;37707;467;5
610;47973;41059;2
611;18260;22855;3
612;9162;39400;1
613;13897;31586;6
614;16465;3851;4
615;47391;18252;6
616;20223;13691;4
617;28296;34399;3
618;42258;6011;2
619;3279;35247;6
620;41236;37121;5
621;22762;2288;5
622;39959;17446;3
623;23583;34604;1
624;31956;32497;3
625;9067;5486;1
626;32645;46903;3
627;43312;46188;2
628;19444;34154;1
629;44206;35468;5
630;1599;9933;3
631;18554;28491;4
632;24745;32774;2
633;41051;17408;6
634;42884;26802;5
635;30252;27432;1
636;29416;1547;1
637;36812;3470;6
638;10185;36834;4
639;23570;32368;6
640;6989;4550;4
641;18354;46;1
642;36505;5020;6
643;28272;19346;2
644;16749;20579;3
645;48021;20890;6
646;16256;26499;3
647;33239;7308;4
648;5618;22353;6
649;26847;11867;4
650;44367;25691;3
651;27841;19510;5
652;1752;41672;5
653;15905;47058;6
654;6172;48431;2
655;23138;21225;3
656;13727;16384;1
657;25355;34791;4
658;40272;20496;5
659;3078;27844;1
660;39123;37970;1
661;41795;9936;6
662;42450;36672;1
663;41895;14259;6
664;49535;48747;2
665;29790;28979;3
666;28798;3430;1
667;25944;21864;6
668;5563;41967;4
669;19969;18826;5
670;31608;22884;2
671;48609;11511;3
672;33965;38250;3
673;21482;34341;1
674;27988;33164;3
675;13363;30725;4
676;46065;28247;2
677;21280;7232;1
678;48612;27321;4
679;1168;2612;4
680;42075;25051;6
681;33800;34794;6
682;7112;33074;4
683;20063;26877;4
684;9984;13199;6
685;6352;18750;1
686;43628;41922;5
687;35901;40568;1
688;34863;21976;1
689;19373;30002;3
690;42921;13229;1
691;5001;25513;4
692;11023;19780;6
693;32486;42437;3
694;42314;42851;5
695;24192;10621;1
696;41317;43657;1
697;36759;140;2
698;30270;4823;1
699;14935;34079;1
700;42693;34832;5
701;12658;1274;4
702;43943;29321;1
703;13419;31886;1
704;29495;15561;2
705;3310;3079;6
706;30715;28888;5
707;22783;31104;5
708;36672;31808;1
709;5677;6028;3
710;45201;47728;3
711;9236;27134;6
712;18067;19345;3
713;18655;33513;2
714;44316;14080;4
715;38128;34758;5
716;3904;39785;6
717;36468;38921;2
718;19908;43271;2
719;22287;14318;4
720;10971;14919;2
721;40993;25950;1
722;29542;13757;2
723;17235;35054;4
724;40058;47663;2
725;7313;37758;4
726;20887;253;2
727;14889;49833;1
728;49837;10837;2
729;26974;19625;5
730;9316;16454;2
731;48429;27383;6
732;27077;20691;2
733;23974;2172;4
734;32575;18227;4
735;39688;12525;3
736;20982;14584;3
737;36582;27170;1
738;7924;19272;4
739;8767;29533;5
740;17534;11881;1
741;33037;34802;3
742;22382;15357;2
743;5833;47454;1
744;44292;13256;5
745;4034;40561;5
746;27940;49458;6
747;35607;12930;3
748;38238;21521;1
749;26178;2168;4
750;28283;18869;3
751;23571;24341;6
752;20269;10679;5
753;33037;37878;3
754;3231;41238;4
755;40326;10958;2
756;42765;1760;3
757;22916;33360;2
758;364;14086;2
759;35369;19315;1
760;20912;28350;6
761;37229;39491;3
762;21254;16764;6
763;38709;9699;6
764;49355;14520;4
765;19616;20556;2
766;7411;4758;3
767;30602;18011;6
768;6674;1843;6
769;6153;14188;6
770;22469;3423;5
771;14167;39770;2
772;12347;26041;6
773;40783;25230;1
774;1257;23532;4
775;34306;31344;1
776;19763;4710;1
777;1486;4454;2
778;46723;2329;2
779;44270;47737;1
780;14541;19718;1
781;47852;49001;5
782;1394;43806;1
783;36784;33104;3
784;8169;33770;3
785;45354;1598;2
786;42321;26205;6
787;25959;28337;5
788;12194;29752;3
789;2338;6186;6
790;10104;36740;1
791;4831;35882;3
792;24685;48893;3
793;1285;20589;5
794;18769;49428;3
795;15511;22041;4
796;36015;22920;2
797;15169;15743;5
798;45464;46614;2
799;22933;21061;2
800;3516;39150;2
801;9236;13134;6
802;6450;39789;5
803;34257;2698;4
804;38723;8479;5
805;40901;42551;3
806;47085;19368;2
807;25726;47149;1
808;16142;13621;2
809;11567;18312;2
810;9913;40226;3
811;15848;38272;2
812;3676;44912;6
813;11335;44887;6
814;30969;44315;1
815;42727;35150;2
816;12798;46848;3
817;25225;34479;3
818;3223;10556;3
819;26001;12575;6
820;34594;18346;5
821;27432;21411;5
822;17605;25819;6
823;41967;12867;5
824;5266;43554;3
825;15712;41275;4
826;12952;9808;5
827;17752;4894;5
828;5181;11546;4
829;33915;36138;1
830;47458;4218;4
831;17501;42958;6
832;15341;18979;1
833;226;7882;1
834;47271;36786;4
835;37254;9008;5
836;44367;35580;5
837;17036;7805;2
838;23502;32406;2
839;36687;25542;4
840;42030;28258;3
841;16777;19958;2
842;13148;23876;2
843;37801;27550;3
844;3997;6481;6
845;22374;26895;4
846;25218;27068;6
847;49778;16728;2
848;15298;8889;1
849;43094;31868;6
850;37094;44798;2
851;10533;2510;5
852;29066;22078;6
853;17693;46875;4
854;41153;21763;3
855;6929;20698;6
856;1200;10757;4
857;32382;36007;5
858;37825;42095;2
859;22008;13122;6
860;7196;23808;5
861;44570;5163;5
862;22819;14149;3
863;42257;16112;6
864;40281;49635;3
865;21142;6201;6
866;6540;24194;3
867;29659;2553;6
868;33785;33359;4
869;5134;22523;3
870;20356;31312;1
871;12782;49389;3
872;11899;3824;4
873;31330;13868;1
874;36539;41954;6
875;38223;46624;5
876;48400;25706;3
877;39593;42755;4
878;42259;26764;4
879;18396;40752;3
880;20362;41563;3
881;13255;38466;3
882;9678;31759;4
883;3595;14211;4
884;45433;16687;3
885;1453;36074;3
886;27295;20008;3
887;10824;38441;5
888;3819;3649;3
889;18391;13876;3
890;15518;41497;5
891;26246;49991;4
892;2289;29665;5
893;37293;19800;1
894;32184;3240;2
895;31084;19376;6
896;30753;12677;5
897;36046;37357;5
898;24241;2122;6
899;43966;20344;5
900;43045;48587;2
901;30450;2104;2
902;32234;25993;6
903;34566;37482;3
904;46310;1569;3
905;4160;33285;5
906;12816;6196;2
907;45349;13811;2
908;18143;47506;5
909;9141;13609;5
910;15836;36686;2
911;839;18989;3
912;23161;19838;6
913;18589;4125;6
914;35360;39249;3
915;722;22344;5
916;25542;26211;2
917;18287;27219;5
918;29006;28668;2
919;12940;29098;1
920;10267;42144;5
921;40675;28422;4
922;32796;17935;4
923;36918;25150;1
924;44131;2206;2
925;37633;39850;4
926;32792;46887;5
927;35299;49790;6
928;43436;31882;6
929;42896;17921;2
930;19520;35410;1
931;33759;2077;2
932;33593;8989;3
933;21816;31420;3
934;40374;2918;6
935;31094;25606;3
936;32827;45496;1
937;26933;15744;2
938;5111;27963;4
939;21952;41683;5
940;15586;5541;2
941;12249;43122;5
942;24623;17474;3
943;17123;25417;2
944;22416;49687;5
945;28202;37517;4
946;12184;43675;2
947;18102;25517;5
948;12951;47475;4
949;20876;34315;4
950;22046;41369;2
951;17947;34986;4
952;23077;10846;2
953;4815;775;2
954;28194;35374;1
955;29629;42639;5
956;30157;32133;2
957;32659;43465;1
958;9749;49947;2
959;21602;17120;3
960;42789;47090;2
961;37113;26019;4
962;21632;10192;5
963;21795;39512;1
964;22849;28247;4
965;33792;36413;4
966;6158;12184;1
967;30818;22519;5
968;1151;6644;6
969;34592;21170;3
970;48374;44102;2
971;33998;21143;3
972;12801;19924;5
973;374;26479;1
974;25795;16781;2
975;17651;24807;3
976;41121;6453;1
977;43973;31614;5
978;23792;14002;2
979;35480;24841;1
980;1073;12062;2
981;7812;18880;3
982;48148;34132;5
983;19311;22234;4
984;29414;26488;3
985;19931;42295;4
986;47076;26910;5
987;37419;25844;4
988;14904;31589;5
989;3517;15052;6
990;14100;28317;5
991;46971;48533;6
992;29501;16374;4
993;30332;21030;1
994;21626;17267;4
995;23025;37635;6
996;17527;28386;2
997;20036;7877;2
998;38384;18062;5
999;33693;13864;3
1000;24293;41511;3
1001;45056;23349;4
1002;48427;9311;3
1003;7652;3877;6
1004;2718;34627;5
1005;31501;26142;3
1006;21085;37383;1
1007;19116;33105;6
1008;37976;183;3
1009;30166;17850;5
1010;43815;43482;4
1011;39151;4265;2
1012;16619;236;2
1013;7940;39400;5
1014;14690;21144;4
1015;37505;18454;6
1016;18853;40378;6
1017;8348;19218;2
1018;24196;20653;4
1019;10068;22647;6
1020;38406;9498;5
1021;9411;44612;5
1022;10050;47660;5
1023;13819;18116;4
1024;25481;45737;4
1025;23524;34178;1
1026;5506;49257;1
1027;36182;38168;3
1028;48459;12277;2
1029;44531;38425;6
1030;45754;9217;3
1031;31178;6534;5
1032;41977;24327;2
1033;15312;12927;3
1034;37324;9469;3
1035;15175;23858;4
1036;38094;26530;4
1037;6982;31301;6
1038;23033;37381;3
1039;34764;16853;6
1040;15434;7258;3
1041;44918;2129;2
1042;47536;11455;6
1043;24381;23017;4
1044;37751;5861;5
1045;20885;45776;4
1046;28406;23905;5
1047;19002;16420;6
1048;3882;17019;6
1049;43945;19154;2
1050;7489;22439;2
1051;4539;42559;3
1052;21292;16081;3
1053;41163;35228;5
1054;11372;3230;3
1055;33461;22293;6
1056;38921;41978;6
1057;35137;17883;5
1058;49953;3698;5
1059;40044;30114;2
1060;16889;29082;2
1061;14078;35551;4
1062;10740;32441;5
1063;13226;23912;4
1064;45490;39114;6
1065;24289;26259;6
1066;26901;40276;2
1067;40715;29076;2
1068;40699;36479;2
1069;2302;34718;1
1070;23564;33424;1
1071;9564;8317;4
1072;16606;23942;1
1073;49410;7682;4
1074;41485;1027;2
1075;29272;30217;3
1076;22488;8990;2
1077;17454;4174;5
1078;5070;22973;4
1079;8941;45191;4
1080;39290;46810;3
1081;8085;7445;4
1082;32032;47612;3
1083;37131;13727;4
1084;45738;46580;6
1085;28809;8267;6
1086;31151;705;1
1087;32137;28988;6
1088;780;47793;5
1089;1227;36963;2
1090;46762;49935;5
1091;3876;14197;4
1092;31366;44554;1
1093;21984;6833;3
1094;45163;29833;6
1095;45135;3851;6
1096;2318;10988;6
1097;23792;38430;1
1098;12850;44024;1
1099;13972;1967;1
1100;26014;20640;1
1101;8595;42603;4
1102;23369;45614;6
1103;14303;25061;4
1104;19724;43187;5
1105;4054;22020;3
1106;15292;7048;1
1107;13273;39897;3
1108;17370;23878;4
1109;17899;20124;1
1110;41456;35351;1
1111;26801;42929;5
1112;40487;42823;5
1113;8144;34245;3
1114;13198;1265;2
1115;42867;15529;4
1116;11184;27997;6
1117;1006;29241;1
1118;32325;43501;3
1119;31492;40516;5
1120;18820;17458;2
1121;22108;36097;2
1122;3952;45284;2
1123;10593;9128;2
1124;359;34959;1
1125;33658;32904;6
1126;16888;2540;1
1127;5257;31047;6
1128;25950;8211;1
1129;35220;8321;4
1130;9194;32662;4
1131;46815;41105;6
1132;13253;16436;2
1133;3437;25890;1
1134;48162;17111;2
1135;41748;29456;3
1136;46887;17786;2
1137;15067;45912;5
1138;36810;20874;6
1139;43368;43890;6
1140;34542;5435;4
1141;27518;20722;3
1142;30216;18010;2
1143;24541;31410;1
1144;23334;42699;2
1145;18749;22475;3
1146;2434;26771;2
1147;46493;45334;1
1148;11907;40516;4
1149;41731;13135;2
1150;37845;34322;1
1151;28429;20973;5
1152;6100;36804;5
1153;12539;15583;1
1154;29416;1414;3
1155;24633;5623;2
1156;37030;19670;6
1157;3628;21000;3
1158;2219;27654;6
1159;46268;4728;6
1160;1;7002;6
1161;14930;31530;6
1162;48361;30083;2
1163;6464;32900;5
1164;38434;26658;4
1165;40939;39636;2
1166;15227;34526;4
1167;47455;27292;6
1168;38350;16174;6
1169;40174;850;2
1170;19876;21121;3
1171;1311;44014;3
1172;10016;35262;4
1173;23964;20719;1
1174;19716;1673;1
1175;25226;22367;3
1176;18394;3444;2
1177;2996;23690;1
1178;13907;40088;2
1179;14636;38995;1
1180;8142;34768;1
1181;23551;28519;1
1182;21905;22367;5
1183;22154;22077;4
1184;45830;14005;6
1185;36;38531;1
1186;47097;4736;4
1187;21510;42708;1
1188;33053;42268;1
1189;10668;21861;6
1190;48996;37414;1
1191;31098;31260;1
1192;19845;2346;2
1193;49464;38668;5
1194;40612;27395;3
1195;41940;38495;4
1196;20612;3721;5
1197;20433;7688;3
1198;21430;47382;4
1199;7899;38859;6
1200;31613;15865;2
1201;23712;8306;2
1202;6239;23180;4
1203;47279;40387;5
1204;27093;25153;4
1205;28845;33346;3
1206;39705;36976;3
1207;48445;34780;6
1208;49549;27886;1
1209;43546;656;5
1210;15451;28907;4
1211;31193;48039;5
1212;32002;18942;6
1213;11857;3720;4
1214;4036;167;4
1215;44984;10793;4
1216;26379;21466;2
1217;4143;17365;2
1218;23526;1535;4
1219;32657;35789;6
1220;31818;13080;5
1221;18196;4759;1
1222;24892;10098;2
1223;19559;45852;1
1224;7824;19011;2
1225;40734;37558;5
1226;4341;24095;5
1227;33115;36367;5
1228;48504;48647;4
1229;469;24841;2
1230;30006;38247;1
1231;15427;32548;1
1232;41427;39135;5
1233;34410;28675;6
1234;33056;47802;4
1235;19977;33462;5
1236;36966;3064;1
1237;20470;14784;5
1238;29923;30462;5
1239;34777;852;5
1240;44984;8994;5
1241;46447;22373;1
1242;20566;40397;3
1243;1779;23621;6
1244;16189;42498;3
1245;10645;14767;6
1246;31365;18730;5
1247;27193;28525;5
1248;34965;3629;6
1249;18406;38502;4
1250;39100;14679;5
1251;24263;27904;3
1252;33788;15190;2
1253;45198;36280;2
1254;21896;46484;4
1255;4821;45577;1
1256;6072;24496;6
1257;23066;39891;1
1258;49381;6106;5
1259;2882;20286;3
1260;4689;41313;6
1261;17987;16888;5
1262;1641;45398;6
1263;17393;12716;6
1264;30381;29307;6
1265;42778;41420;6
1266;4391;46376;3
1267;20684;21061;2
1268;17248;35489;1
1269;26907;49345;4
1270;31684;13388;4
1271;36386;8900;6
1272;37711;9577;3
1273;46418;5368;3
1274;2648;28489;1
1275;13913;13215;3
1276;21693;14999;3
1277;47333;28166;3
1278;31916;8824;6
1279;35454;32605;4
1280;34128;34846;1
1281;13532;11621;3
1282;2867;6600;3
1283;9058;40530;6
1284;47010;33593;1
1285;13809;26542;3
1286;39101;38009;4
1287;28332;15715;3
1288;22431;24645;4
1289;23688;5390;5
1290;12301;14737;3
1291;39224;15398;5
1292;49799;3000;6
1293;24398;11788;6
1294;3152;8477;2
1295;41470;16647;1
1296;34330;48411;4
1297;8842;39688;1
1298;14347;33166;2
1299;5279;16996;5
1300;35904;15092;5
1301;9379;17905;3
1302;26048;45236;3
1303;49805;2918;4
1304;4808;40416;3
1305;41885;42534;1
1306;12906;36100;6
1307;39824;14609;5
1308;29148;7644;1
1309;17568;26540;3
1310;4371;14061;5
1311;28034;45907;5
1312;42844;24713;6
1313;42243;25669;2
1314;29418;47095;6
1315;46752;47688;1
1316;32669;3976;4
1317;2147;14099;6
1318;21471;30704;2
1319;28747;14753;4
1320;10656;44885;6
1321;49888;49111;3
1322;17920;16785;1
1323;37225;5324;4
1324;38312;18579;4
1325;9445;29872;6
1326;16849;11463;5
1327;1033;20555;2
1328;2281;39194;5
1329;10233;29095;5
1330;43695;23775;3
1331;13768;9495;2
1332;38451;15883;1
1333;5467;17854;3
1334;44715;37222;2
1335;3870;19628;6
1336;23093;9992;4
1337;5642;32735;2
1338;26180;40927;4
1339;9616;49962;5
1340;42619;2288;1
1341;4215;42271;4
1342;35285;15304;5
1343;23792;42609;6
1344;37890;20025;4
1345;39134;39420;5
1346;49798;11658;1
1347;48643;5907;2
1348;1192;42071;2
1349;44895;44509;3
1350;22747;23708;1
1351;33702;41892;3
1352;46153;43294;4
1353;359;46119;3
1354;32516;2117;5
1355;27395;3426;2
1356;19771;35591;4
