ID_populacije;TAKSONOMIJE_C_ID_taksonomije;TAKSONOMIJA_SELF_ID_taksonomije_self;STANISTA_ID_stanista
283;5219;5219;582
284;5877;5877;4862
285;2532;2532;3803
286;4022;4022;1402
287;3040;3040;3598
288;2132;2132;167
289;1337;1337;1204
290;4283;4283;3160
291;2828;2828;2607
292;1872;1872;4584
293;5248;5248;2875
294;4974;4974;456
295;4268;4268;1671
296;2751;2751;341
297;5877;5877;2013
298;4350;4350;626
299;3080;3080;165
300;1801;1801;2364
301;3821;3821;3338
302;3509;3509;888
303;5219;5219;1292
304;5891;5891;2368
305;1849;1849;470
306;2999;2999;3502
307;5307;5307;2688
308;5614;5614;117
309;4443;4443;4656
310;3087;3087;1260
311;5563;5563;4845
312;3448;3448;327
313;1848;1848;749
314;5004;5004;636
315;2821;2821;278
316;3303;3303;3970
317;1497;1497;3768
318;2098;2098;4334
319;3434;3434;3376
320;5027;5027;4842
321;1735;1735;4522
322;5079;5079;3901
323;3185;3185;3898
324;3038;3038;865
325;4677;4677;4679
326;2441;2441;3666
327;4094;4094;4994
328;2655;2655;4017
329;3803;3803;3390
330;1655;1655;691
331;1621;1621;133
332;4542;4542;4992
333;4893;4893;3856
334;3660;3660;423
335;1281;1281;4870
336;5052;5052;451
337;1784;1784;4208
338;3032;3032;1084
339;4302;4302;3263
340;4391;4391;585
341;5725;5725;72
342;4363;4363;769
343;1294;1294;4315
344;4042;4042;1997
345;4985;4985;336
346;1321;1321;4093
347;1778;1778;170
348;2089;2089;51
349;2494;2494;1151
350;2352;2352;957
351;2654;2654;3243
352;5852;5852;1788
353;1610;1610;2611
354;2052;2052;293
355;2266;2266;628
356;5741;5741;559
357;4371;4371;4640
358;2873;2873;2201
359;6085;6085;917
360;1310;1310;3130
361;5062;5062;3575
362;5512;5512;3907
363;1798;1798;325
364;2168;2168;2307
365;3765;3765;651
366;1936;1936;3487
367;3147;3147;1471
368;5844;5844;1228
369;2511;2511;2973
370;2186;2186;4649
371;4390;4390;2108
372;2374;2374;4834
373;3966;3966;4153
374;4431;4431;996
375;4812;4812;3655
376;2462;2462;890
377;1783;1783;3971
378;1429;1429;1278
379;3944;3944;2075
380;3737;3737;4875
381;4466;4466;2590
382;3945;3945;296
383;2554;2554;2257
384;2551;2551;686
385;5513;5513;1163
386;3935;3935;2158
387;5567;5567;413
388;3982;3982;3823
389;4096;4096;2693
390;1284;1284;1398
391;3679;3679;1161
392;3331;3331;1134
393;4699;4699;1764
394;3275;3275;3071
395;2737;2737;1861
396;2213;2213;3793
397;3892;3892;2356
398;5390;5390;3627
399;5345;5345;1024
400;2859;2859;1259
401;1287;1287;1267
402;1404;1404;3282
403;2006;2006;1691
404;2335;2335;118
405;3193;3193;868
406;5560;5560;3403
407;4951;4951;3485
408;5054;5054;2295
409;3784;3784;4244
410;2637;2637;1458
411;5448;5448;4008
412;5811;5811;90
413;5355;5355;1600
414;1774;1774;360
415;3719;3719;3543
416;3155;3155;257
417;6007;6007;3168
418;4687;4687;3207
419;4947;4947;3580
420;2698;2698;4651
421;4367;4367;260
422;2551;2551;4987
423;4824;4824;2555
424;6264;6264;4901
425;1842;1842;341
426;3373;3373;4037
427;2275;2275;3400
428;3707;3707;4878
429;3952;3952;2106
430;3895;3895;4114
431;3436;3436;2496
432;4602;4602;2820
433;5100;5100;3784
434;2234;2234;2009
435;4956;4956;912
436;4090;4090;1619
437;3354;3354;1371
438;5082;5082;4113
439;6035;6035;1736
440;2697;2697;4270
441;5071;5071;1762
442;2464;2464;1422
443;5105;5105;3094
444;4759;4759;2625
445;3373;3373;4377
446;3639;3639;1050
447;5360;5360;2500
448;6134;6134;2373
449;4777;4777;2502
450;4075;4075;2254
451;1748;1748;1550
452;1514;1514;229
453;2540;2540;821
454;3727;3727;1915
455;4419;4419;3406
456;3941;3941;4616
457;3675;3675;2942
458;2916;2916;4540
459;5799;5799;1411
460;3029;3029;1118
461;3306;3306;2504
462;3995;3995;2005
463;3056;3056;2860
464;4443;4443;3418
465;5484;5484;1327
466;2353;2353;4292
467;6172;6172;3403
468;4256;4256;3968
469;4287;4287;2485
470;6222;6222;1219
471;1311;1311;1812
472;5750;5750;6
473;2194;2194;1654
474;3174;3174;3824
475;4517;4517;600
476;1906;1906;2994
477;5011;5011;3948
478;1333;1333;814
479;3813;3813;731
480;2211;2211;648
481;4185;4185;4329
482;2152;2152;3117
483;2527;2527;1736
484;1834;1834;2898
485;3261;3261;4994
486;3507;3507;1315
487;5763;5763;601
488;2194;2194;2935
489;5735;5735;3791
490;4585;4585;2768
491;1587;1587;4726
492;1793;1793;3084
493;2922;2922;4917
494;4942;4942;2985
495;1453;1453;3024
496;4865;4865;4961
497;2391;2391;990
498;4304;4304;528
499;1583;1583;4945
500;5828;5828;758
501;1776;1776;250
502;6005;6005;2170
503;3683;3683;1811
504;1391;1391;291
505;2407;2407;3764
506;5266;5266;1846
507;2401;2401;116
508;4340;4340;2752
509;4520;4520;4636
510;3636;3636;1197
511;4925;4925;3384
512;2813;2813;4536
513;1337;1337;4311
514;2686;2686;3135
515;2887;2887;1352
516;4492;4492;3648
517;4685;4685;1855
518;2090;2090;719
519;3802;3802;2020
520;1916;1916;504
521;5026;5026;2783
522;3141;3141;4889
523;5388;5388;3898
524;1910;1910;2264
525;2159;2159;2181
526;2791;2791;3538
527;3658;3658;1098
528;6117;6117;1809
529;1519;1519;3084
530;3375;3375;3125
531;2185;2185;2305
532;2896;2896;4147
533;2920;2920;4148
534;1786;1786;3384
535;5341;5341;2462
536;2368;2368;4426
537;6142;6142;2564
538;3812;3812;419
539;4182;4182;4361
540;3597;3597;3888
541;3394;3394;2017
542;5836;5836;4784
543;3666;3666;4003
544;4020;4020;1095
545;5431;5431;4829
546;5235;5235;1327
547;3768;3768;2734
548;6241;6241;3754
549;5887;5887;4554
550;6098;6098;4450
551;2730;2730;1534
552;3625;3625;2785
553;4092;4092;2418
554;1484;1484;2291
555;2508;2508;1001
556;1442;1442;78
557;2191;2191;2460
558;6113;6113;3273
559;2238;2238;898
560;5144;5144;3650
561;5583;5583;2636
562;3559;3559;3046
563;2978;2978;4636
564;1524;1524;2838
565;4873;4873;4477
566;4383;4383;3149
567;2317;2317;3532
568;6138;6138;1448
569;3028;3028;1941
570;5908;5908;2773
571;3244;3244;69
572;1534;1534;1048
573;4105;4105;2878
574;2868;2868;4873
575;4009;4009;1502
576;4292;4292;3280
577;2956;2956;3723
578;5261;5261;1788
579;2132;2132;1440
580;4207;4207;1296
581;3819;3819;2967
582;5616;5616;4010
583;1529;1529;1008
584;3077;3077;779
585;2226;2226;513
586;4912;4912;2876
587;2266;2266;4019
588;3214;3214;1690
589;4256;4256;4565
590;2874;2874;3370
591;2431;2431;2409
592;5881;5881;1445
593;2286;2286;2760
594;1976;1976;2784
595;4780;4780;4745
596;3799;3799;2552
597;3072;3072;4532
598;5326;5326;4487
599;5164;5164;573
600;5016;5016;561
601;3160;3160;2652
602;6253;6253;1768
603;4123;4123;4207
604;6056;6056;687
605;1730;1730;2866
606;3550;3550;4412
607;2694;2694;2710
608;4816;4816;1303
609;5232;5232;1745
610;4745;4745;2299
611;2899;2899;1656
612;2289;2289;3527
613;1943;1943;1264
614;1269;1269;4911
615;2424;2424;4501
616;4714;4714;4371
617;5164;5164;4575
618;3670;3670;1255
619;5135;5135;3944
620;3975;3975;843
621;3844;3844;1821
622;4520;4520;3603
623;2388;2388;387
624;6100;6100;3602
625;4165;4165;296
626;4412;4412;3077
627;6124;6124;851
628;2320;2320;4478
629;3838;3838;3243
630;5511;5511;2701
631;5899;5899;2256
632;3654;3654;645
633;4711;4711;2340
634;5952;5952;1939
635;2951;2951;814
636;1954;1954;714
637;3888;3888;3126
638;5707;5707;2603
639;3825;3825;234
640;2661;2661;3169
641;2293;2293;815
642;5510;5510;339
643;4488;4488;81
644;3279;3279;3350
645;3314;3314;1391
646;3159;3159;3026
647;2270;2270;4505
648;3933;3933;1407
649;2452;2452;4872
650;1996;1996;3503
651;4168;4168;3269
652;2032;2032;1633
653;1774;1774;3607
654;3237;3237;4224
655;4854;4854;644
656;3651;3651;4188
657;3636;3636;2633
658;3487;3487;2523
659;2896;2896;243
660;1300;1300;3803
661;3662;3662;2761
662;4960;4960;4004
663;5109;5109;2384
664;2260;2260;2405
665;4709;4709;2838
666;2089;2089;4108
667;2988;2988;796
668;4556;4556;2003
669;2911;2911;1434
670;4273;4273;1817
671;3252;3252;3552
672;2880;2880;326
673;3991;3991;3742
674;4161;4161;3796
675;5410;5410;3111
676;4576;4576;457
677;4980;4980;479
678;2798;2798;2758
679;1458;1458;3740
680;4395;4395;3504
681;4763;4763;366
682;4434;4434;4716
683;4193;4193;158
684;5491;5491;2958
685;2480;2480;3495
686;1938;1938;388
687;4715;4715;4202
688;4624;4624;3052
689;4103;4103;1714
690;2381;2381;3158
691;3354;3354;4067
692;3489;3489;879
693;3395;3395;526
694;2747;2747;2229
695;1382;1382;2130
696;2869;2869;4660
697;4839;4839;4264
698;3590;3590;4218
699;2991;2991;2608
700;6044;6044;3177
701;1678;1678;59
702;1311;1311;551
703;5791;5791;1273
704;1331;1331;4208
705;5267;5267;866
706;4442;4442;1776
707;5619;5619;4518
708;2265;2265;4854
709;3033;3033;4766
710;2456;2456;3906
711;1933;1933;4640
712;2046;2046;4145
713;6121;6121;4717
714;3073;3073;4580
715;2134;2134;4377
716;5182;5182;4948
717;2321;2321;790
718;4653;4653;2724
719;1290;1290;798
720;5566;5566;607
721;5080;5080;2966
722;5008;5008;3449
723;1333;1333;841
724;5457;5457;263
725;5527;5527;3532
726;4868;4868;2617
727;2293;2293;1034
728;4638;4638;1075
729;3776;3776;4892
730;1976;1976;2735
731;2322;2322;4247
732;3109;3109;1377
733;5448;5448;880
734;4575;4575;3576
735;4028;4028;659
736;5261;5261;4008
737;2913;2913;637
738;2957;2957;684
739;5043;5043;2373
740;5932;5932;2016
741;2215;2215;1961
742;3939;3939;1128
743;5273;5273;3496
744;2761;2761;2824
745;4075;4075;2024
746;5297;5297;3466
747;4298;4298;513
748;2028;2028;4249
749;2312;2312;2626
750;4850;4850;3473
751;4033;4033;904
752;4408;4408;1758
753;6151;6151;899
754;5001;5001;1389
755;5108;5108;784
756;3969;3969;2064
757;5649;5649;1592
758;4654;4654;1411
759;5650;5650;762
760;2867;2867;2354
761;2263;2263;1920
762;4002;4002;193
763;2806;2806;1653
764;3588;3588;3296
765;1369;1369;3879
766;3817;3817;4856
767;4674;4674;4138
768;4880;4880;2669
769;4920;4920;2471
770;3690;3690;3506
771;3850;3850;2496
772;3340;3340;4415
773;2434;2434;942
774;5489;5489;4002
775;3051;3051;4569
776;2717;2717;867
777;2309;2309;2703
778;3938;3938;4179
779;5718;5718;4011
780;5127;5127;2290
781;1595;1595;2879
782;1743;1743;1786
783;1801;1801;2789
784;1811;1811;1704
785;3810;3810;3107
786;4327;4327;442
787;5736;5736;3407
788;3915;3915;3426
789;5877;5877;3513
790;3063;3063;4469
791;5285;5285;2184
792;3669;3669;3927
793;5298;5298;641
794;3139;3139;2523
795;1978;1978;1355
796;4048;4048;1953
797;5516;5516;2040
798;3427;3427;715
799;1476;1476;3473
800;4287;4287;3758
801;2376;2376;3650
802;4721;4721;3133
803;4271;4271;3456
804;2554;2554;350
805;4716;4716;4087
806;1671;1671;1936
807;6239;6239;1910
808;3021;3021;3080
809;4877;4877;3990
810;4988;4988;2097
811;3818;3818;778
812;1542;1542;4577
813;3331;3331;1663
814;6063;6063;3844
815;2267;2267;918
816;5525;5525;1524
817;1718;1718;101
818;3052;3052;2256
819;1556;1556;2012
820;4015;4015;4188
821;2768;2768;3911
822;2196;2196;3979
823;2890;2890;1108
824;1702;1702;1730
825;1921;1921;89
826;4849;4849;3256
827;4500;4500;2306
828;4836;4836;2947
829;2058;2058;4109
830;3453;3453;3891
831;5435;5435;4164
832;5350;5350;3826
833;5576;5576;4499
834;5462;5462;2495
835;4132;4132;4101
836;5295;5295;2913
837;5079;5079;4760
838;5176;5176;699
839;2078;2078;2395
840;6173;6173;710
841;5020;5020;4929
842;3674;3674;3414
843;1817;1817;444
844;4344;4344;4825
845;2717;2717;1846
846;5946;5946;2903
847;2057;2057;170
848;5682;5682;1673
849;2356;2356;4041
850;5501;5501;3259
851;4483;4483;4262
852;4754;4754;4441
853;6235;6235;4681
854;5570;5570;2472
855;2464;2464;146
856;1439;1439;1876
857;2802;2802;3157
858;3979;3979;496
859;3138;3138;408
860;3863;3863;1146
861;3410;3410;769
862;2059;2059;2233
863;2647;2647;323
864;4896;4896;3335
865;4331;4331;780
866;3094;3094;1770
867;4031;4031;1457
868;5878;5878;2313
869;6184;6184;3061
870;5170;5170;3582
871;1702;1702;2038
872;5935;5935;3421
873;1846;1846;249
874;5691;5691;2216
875;5914;5914;1349
876;6106;6106;3915
877;1708;1708;2466
878;3867;3867;1688
879;5540;5540;3475
880;5714;5714;3640
881;4531;4531;573
882;2443;2443;4652
883;4943;4943;3369
884;5289;5289;3087
885;2515;2515;931
886;2874;2874;2747
887;3725;3725;2629
888;4577;4577;560
889;3567;3567;1857
890;2255;2255;2822
891;2884;2884;4196
892;2834;2834;2492
893;5843;5843;4722
894;6068;6068;2972
895;3275;3275;544
896;2728;2728;414
897;1529;1529;4259
898;3985;3985;4727
899;1616;1616;2555
900;1659;1659;242
901;2704;2704;2292
902;2119;2119;3696
903;1530;1530;1761
904;4581;4581;2061
905;2769;2769;1996
906;5289;5289;2034
907;3051;3051;636
908;2943;2943;2449
909;2489;2489;2551
910;1780;1780;2395
911;4871;4871;1016
912;5467;5467;4689
913;5219;5219;3224
914;2598;2598;614
915;5202;5202;3843
916;6228;6228;2412
917;2423;2423;4995
918;2723;2723;808
919;1555;1555;849
920;5323;5323;1113
921;5329;5329;2192
922;5707;5707;1093
923;1930;1930;2791
924;1979;1979;3934
925;4029;4029;163
926;5284;5284;4649
927;4723;4723;1933
928;1924;1924;1843
929;2445;2445;2244
930;1762;1762;2249
931;6074;6074;3191
932;1925;1925;3439
933;3881;3881;755
934;6267;6267;3248
935;4480;4480;1407
936;5211;5211;753
937;3531;3531;2875
938;5234;5234;423
939;4742;4742;2593
940;5620;5620;3552
941;5424;5424;3571
942;2602;2602;1755
943;4886;4886;4191
944;4315;4315;3675
945;5056;5056;791
946;5061;5061;1008
947;2725;2725;540
948;5980;5980;4840
949;5943;5943;1598
950;6224;6224;708
951;5303;5303;3111
952;5186;5186;9
953;5277;5277;93
954;1279;1279;1041
955;2670;2670;3593
956;5998;5998;3473
957;2585;2585;2267
958;3775;3775;2760
959;2767;2767;3625
960;5411;5411;2378
961;2873;2873;1
962;1355;1355;1798
963;6235;6235;4466
964;5339;5339;4102
965;1595;1595;3442
966;3617;3617;3471
967;4057;4057;4621
968;3787;3787;4890
969;1986;1986;4428
970;4664;4664;4447
971;3758;3758;4924
972;5455;5455;3986
973;3494;3494;4934
974;2852;2852;1462
975;1331;1331;1717
976;6030;6030;1157
977;2634;2634;3098
978;5797;5797;3299
979;5373;5373;3857
980;1477;1477;1696
981;5121;5121;3007
982;4316;4316;4024
983;5620;5620;3015
984;3618;3618;2685
985;5233;5233;3167
986;3924;3924;1757
987;1302;1302;4752
988;2442;2442;2136
989;4696;4696;2359
990;2948;2948;148
991;5407;5407;915
992;3090;3090;1057
993;2497;2497;1420
994;4102;4102;3773
995;4304;4304;157
996;3387;3387;623
997;2399;2399;1341
998;4721;4721;3222
999;3774;3774;1955
1000;4327;4327;25
1001;5953;5953;2304
1002;3850;3850;3030
1003;4901;4901;1904
1004;2071;2071;2347
1005;5938;5938;1235
1006;4740;4740;3457
1007;2720;2720;1192
1008;3342;3342;4025
1009;4859;4859;3511
1010;1287;1287;1651
1011;5818;5818;1247
1012;5382;5382;487
1013;5210;5210;576
1014;1766;1766;402
1015;2451;2451;2090
1016;3857;3857;4306
1017;5594;5594;3511
1018;3503;3503;928
1019;5034;5034;4814
1020;3228;3228;4898
1021;6207;6207;3188
1022;5186;5186;4941
1023;3271;3271;1834
1024;2931;2931;2014
1025;5408;5408;1604
1026;2872;2872;4318
1027;4922;4922;3520
1028;5805;5805;4198
1029;2990;2990;4520
1030;4532;4532;4277
1031;6026;6026;4337
1032;2493;2493;2831
1033;5468;5468;1006
1034;4933;4933;1724
1035;5833;5833;3553
1036;5679;5679;840
1037;4371;4371;2856
1038;2746;2746;1164
1039;3311;3311;2725
1040;1572;1572;4024
1041;6209;6209;1931
1042;5199;5199;4452
1043;5286;5286;1908
1044;4216;4216;1091
1045;2201;2201;4750
1046;6212;6212;4283
1047;1473;1473;3088
1048;5498;5498;2095
1049;6157;6157;3309
1050;1517;1517;1614
1051;2976;2976;2371
1052;2713;2713;4869
1053;4142;4142;472
1054;5701;5701;3233
1055;5066;5066;1262
1056;2531;2531;3346
1057;4822;4822;1517
1058;5647;5647;723
1059;1731;1731;3683
1060;4578;4578;3608
1061;5010;5010;3640
1062;5677;5677;3386
1063;4898;4898;1876
1064;6197;6197;3950
1065;1884;1884;4365
1066;1821;1821;4988
1067;1639;1639;2940
1068;5988;5988;3587
1069;3436;3436;3525
1070;5375;5375;4704
1071;5925;5925;1866
1072;3047;3047;271
1073;4229;4229;1766
1074;5248;5248;2299
1075;1619;1619;3478
1076;2560;2560;2100
1077;2417;2417;3178
1078;2229;2229;454
1079;3196;3196;1980
1080;2508;2508;2291
1081;5823;5823;3869
1082;5348;5348;1539
1083;4459;4459;2869
1084;2158;2158;4327
1085;5663;5663;2243
1086;6229;6229;910
1087;5663;5663;3350
1088;4491;4491;665
1089;3000;3000;1157
1090;6021;6021;2467
1091;1443;1443;3279
1092;3219;3219;2985
1093;5139;5139;1495
1094;3434;3434;3827
1095;4569;4569;1671
1096;6178;6178;4512
1097;4120;4120;3898
1098;2475;2475;3251
1099;5555;5555;2645
1100;1550;1550;93
1101;5077;5077;1146
1102;5796;5796;2450
1103;3124;3124;4163
1104;4175;4175;4299
1105;1335;1335;222
1106;6010;6010;4824
1107;5453;5453;3513
1108;4820;4820;4657
1109;2587;2587;2194
1110;3832;3832;135
1111;3944;3944;531
1112;3457;3457;236
1113;3811;3811;4123
1114;5095;5095;1831
1115;4092;4092;4976
1116;5263;5263;3070
1117;3506;3506;1849
1118;3619;3619;2635
1119;3191;3191;3127
1120;3673;3673;4632
1121;4477;4477;822
1122;1771;1771;3993
1123;5359;5359;4702
1124;6225;6225;3643
1125;5007;5007;1167
1126;2492;2492;1317
1127;2426;2426;3517
1128;3786;3786;3104
1129;1960;1960;2653
1130;3250;3250;1942
1131;1547;1547;86
1132;2478;2478;4070
1133;1359;1359;1113
1134;5038;5038;2977
1135;1758;1758;3902
1136;4704;4704;3854
1137;4847;4847;4613
1138;3260;3260;4404
1139;1585;1585;2615
1140;2154;2154;2066
1141;4203;4203;1969
1142;5807;5807;3092
1143;6136;6136;81
1144;2226;2226;3563
1145;5492;5492;577
1146;2537;2537;308
1147;5347;5347;2802
1148;1320;1320;448
1149;1475;1475;3298
1150;1930;1930;2851
1151;4265;4265;4340
1152;4105;4105;4657
1153;3062;3062;4796
1154;2552;2552;1177
1155;3384;3384;2099
1156;3879;3879;2916
1157;4840;4840;2775
1158;2764;2764;1738
1159;2754;2754;1042
1160;2053;2053;2488
1161;5659;5659;2533
1162;3558;3558;688
1163;2820;2820;4685
1164;5975;5975;3061
1165;1967;1967;3664
1166;4561;4561;4621
1167;6180;6180;1631
1168;2976;2976;425
1169;3221;3221;4519
1170;1916;1916;2596
1171;4822;4822;4783
1172;3947;3947;4811
1173;1608;1608;3946
1174;1376;1376;2861
1175;4834;4834;4897
1176;4293;4293;534
1177;1374;1374;3534
1178;2977;2977;3369
1179;2185;2185;522
1180;2416;2416;4251
1181;5238;5238;2387
1182;1604;1604;4117
1183;2194;2194;524
1184;4982;4982;1563
1185;1471;1471;3079
1186;6002;6002;4925
1187;3145;3145;4345
1188;2458;2458;568
1189;3524;3524;2573
1190;2352;2352;4467
1191;4879;4879;4256
1192;6043;6043;4936
1193;6022;6022;4630
1194;4516;4516;1106
1195;5407;5407;4721
1196;3189;3189;61
1197;2800;2800;4527
1198;3618;3618;463
1199;4222;4222;1184
1200;1880;1880;4117
1201;4210;4210;388
1202;3892;3892;3141
1203;1695;1695;4585
1204;2822;2822;876
1205;5945;5945;787
1206;2494;2494;3346
1207;1705;1705;2152
1208;5743;5743;2900
1209;5595;5595;4647
1210;4717;4717;2671
1211;3426;3426;4519
1212;1824;1824;4489
1213;3494;3494;2232
1214;1394;1394;4868
1215;3248;3248;4454
1216;4773;4773;2894
1217;3789;3789;3761
1218;1836;1836;1530
1219;5360;5360;422
1220;4321;4321;2077
1221;5448;5448;3747
1222;3775;3775;4338
1223;5134;5134;303
1224;4022;4022;3270
1225;4385;4385;1255
1226;3111;3111;225
1227;1655;1655;3044
1228;4483;4483;56
1229;6055;6055;2530
1230;3497;3497;3206
1231;2153;2153;2955
1232;1354;1354;798
1233;2402;2402;1812
1234;4008;4008;432
1235;4684;4684;3234
1236;4339;4339;3082
1237;4813;4813;453
1238;4217;4217;239
1239;4126;4126;171
1240;5456;5456;2956
1241;4320;4320;3751
1242;4775;4775;2702
1243;5238;5238;4406
1244;5974;5974;1743
1245;5169;5169;4694
1246;3304;3304;4782
1247;2056;2056;4931
1248;3794;3794;3994
1249;3451;3451;1850
1250;5049;5049;1245
1251;5912;5912;4863
1252;1609;1609;1563
1253;3935;3935;1249
1254;1945;1945;4641
1255;4443;4443;150
1256;6121;6121;1022
1257;1488;1488;1132
1258;5000;5000;3462
1259;3496;3496;4073
