ID_akcija;datum;POPULACIJE_ID_populacije;TIPOVI_AKCIJA_ID_tipa_akcije;TIMOVI_ID_tima;REZERVOARI_ID_rezervoara
385;2022-03-15;40449;5;462;672
386;2020-05-21;37988;3;274;717
387;2023-08-06;27239;3;250;
388;2021-04-26;23406;3;371;210
389;2022-03-03;15725;3;135;334
390;2022-08-15;36504;5;281;142
391;2023-09-24;28614;6;353;
392;2022-08-22;35841;5;400;942
393;2022-02-27;14050;3;147;805
394;2020-05-03;14182;3;91;837
395;2021-06-18;34442;6;357;757
396;2020-11-29;37395;3;40;101
397;2021-02-01;10616;2;267;852
398;2021-12-28;14147;3;300;679
399;2021-06-21;28592;7;340;69
400;2023-04-22;42945;3;218;860
401;2020-11-29;31421;6;30;125
402;2020-11-01;17443;4;167;906
403;2021-03-24;16456;3;31;254
404;2020-03-10;32099;1;409;
405;2022-06-24;8204;6;400;621
406;2023-03-26;35563;1;495;865
407;2023-03-31;31829;2;61;251
408;2021-07-06;35518;3;211;
409;2022-07-17;14928;4;272;639
410;2022-03-17;17804;2;51;797
411;2020-03-09;49104;3;149;519
412;2023-09-04;10032;6;427;
413;2020-01-30;10245;2;323;837
414;2023-03-20;36383;2;88;390
415;2020-05-02;42800;1;264;141
416;2020-02-11;47145;1;72;467
417;2023-05-02;44582;2;139;778
418;2021-07-18;24756;7;456;39
419;2020-05-19;2804;6;316;126
420;2022-09-24;10509;5;365;212
421;2023-04-13;33101;6;288;779
422;2022-01-13;41202;4;304;
423;2021-05-19;49111;2;207;187
424;2020-10-27;1615;5;270;528
425;2020-02-12;11696;5;252;307
426;2020-01-19;17023;4;11;498
427;2020-07-27;12291;4;228;207
428;2022-12-06;26216;4;498;636
429;2020-06-30;10351;1;402;305
430;2023-06-02;39055;1;154;181
431;2022-02-18;36221;6;98;778
432;2022-08-24;5924;6;171;
433;2022-10-15;26854;2;478;313
434;2023-05-29;39503;4;208;513
435;2020-07-08;10825;1;100;
436;2022-06-20;48258;1;311;786
437;2022-12-07;15073;6;226;
438;2021-12-20;6810;5;204;890
439;2021-09-10;12250;2;43;
440;2022-09-20;10111;5;219;903
441;2021-02-03;28237;7;425;332
442;2023-05-10;2127;3;43;294
443;2022-07-05;7127;6;147;139
444;2021-09-10;14625;7;474;656
445;2021-06-29;4500;2;12;
446;2020-10-26;34885;7;272;434
447;2020-11-03;34184;6;129;13
448;2021-05-29;43769;1;38;
449;2023-06-21;42123;7;173;760
450;2020-04-20;9014;2;274;74
451;2022-07-12;20574;6;162;
452;2023-05-23;6378;3;236;505
453;2021-07-06;33633;1;229;
454;2023-08-31;7609;1;254;581
455;2022-03-22;48489;4;160;643
456;2021-09-15;36987;4;251;102
457;2021-09-02;28167;7;402;685
458;2022-11-19;37700;6;290;124
459;2022-02-05;31224;6;57;129
460;2023-04-18;38900;5;306;350
461;2022-05-23;24047;5;361;712
462;2022-01-21;25521;1;142;489
463;2023-06-04;41833;2;214;316
464;2022-12-12;36676;7;14;566
465;2022-02-04;48068;7;52;164
466;2023-09-11;30109;7;472;
467;2020-04-26;41146;2;195;
468;2020-11-09;7281;2;188;819
469;2022-11-09;7008;5;221;459
470;2020-04-15;23087;7;43;
471;2022-02-11;8946;5;269;772
472;2022-09-04;42227;2;279;
473;2023-06-17;45515;3;495;
474;2023-04-10;42734;1;383;191
475;2020-04-26;19648;7;294;126
476;2020-07-20;40833;3;353;115
477;2021-05-11;44574;4;314;273
478;2023-03-07;14022;2;106;
479;2020-04-26;4951;1;244;649
480;2022-06-27;32738;3;257;316
481;2020-09-15;5463;2;415;614
482;2022-09-12;43193;1;438;
483;2023-12-02;5724;7;201;
484;2022-06-28;26548;5;327;599
485;2020-08-22;25489;2;109;
486;2021-09-12;4846;5;85;735
487;2021-12-15;13702;3;213;
488;2020-08-30;3412;2;61;248
489;2021-05-03;27163;2;192;468
490;2022-12-02;18014;4;248;
491;2021-11-22;37050;7;24;7
492;2020-09-18;3628;1;231;
493;2023-12-06;33910;6;352;546
494;2023-06-02;44493;2;375;
495;2022-07-22;25207;1;61;
496;2021-10-09;205;3;49;596
497;2020-09-04;2992;7;396;938
498;2023-01-25;12268;4;263;905
499;2020-07-05;10722;1;35;953
500;2021-04-16;1057;6;132;155
501;2020-07-11;34945;7;259;38
502;2023-10-29;14718;6;425;281
503;2021-09-24;15606;4;462;153
504;2022-05-06;9496;3;87;558
505;2022-03-13;29818;7;12;533
506;2023-12-15;33805;2;330;948
507;2020-09-08;15274;5;378;226
508;2021-01-24;23473;4;97;809
509;2021-12-03;12630;6;321;
510;2023-11-21;34127;1;102;884
511;2021-04-27;23143;1;391;298
512;2022-02-11;42025;4;189;
513;2022-07-09;5602;2;278;946
514;2022-08-27;9754;3;344;
515;2022-01-24;44150;3;402;
516;2023-05-17;14922;3;241;
517;2020-02-01;38325;6;402;
518;2022-05-28;14955;6;178;901
519;2020-03-11;13973;3;372;325
520;2021-10-03;1898;4;409;719
521;2023-01-17;43088;6;213;
522;2023-03-28;44919;7;63;
523;2020-03-23;5897;1;218;577
524;2021-07-31;19609;5;401;995
525;2023-02-11;49568;4;107;509
526;2021-02-10;31623;1;180;
527;2021-02-22;8219;4;321;
528;2021-12-30;40731;4;310;
529;2021-11-05;5259;3;136;274
530;2023-09-09;40375;3;93;801
531;2021-10-16;40926;7;231;
532;2021-06-07;37120;2;253;688
533;2022-06-18;32143;6;420;362
534;2020-05-23;22014;5;434;
535;2021-01-30;12208;1;330;615
536;2023-04-29;33161;3;427;
537;2023-11-22;30379;2;492;
538;2023-07-16;24262;7;52;936
539;2023-03-27;49763;5;417;268
540;2021-12-05;48530;5;1;
541;2020-08-31;4356;3;114;
542;2023-05-26;42922;5;27;888
543;2023-02-18;16453;7;420;474
544;2023-03-13;32957;7;346;790
545;2023-05-08;6859;4;337;151
546;2020-03-02;9534;6;111;
547;2021-07-12;47127;6;6;
548;2021-06-24;39590;3;28;
549;2023-08-03;41570;5;54;
550;2023-11-29;41276;1;306;162
551;2021-12-16;19566;2;50;148
552;2020-01-08;12484;2;229;3
553;2021-04-11;30597;5;309;
554;2023-08-25;46101;7;152;851
555;2021-10-16;26665;2;464;
556;2020-05-12;38796;6;482;340
557;2020-05-17;44154;2;53;
558;2020-03-18;389;6;7;198
559;2021-06-01;13248;4;305;942
560;2021-09-08;31149;3;382;68
561;2021-06-20;24687;1;276;691
562;2021-07-29;47143;7;377;539
563;2020-02-05;12;2;267;
564;2021-07-13;9961;2;498;26
565;2020-12-21;42423;7;386;
566;2023-09-12;29696;4;361;130
567;2022-01-01;23301;3;60;
568;2022-03-18;46209;2;227;988
569;2022-05-15;23170;5;493;189
570;2022-07-16;16860;1;482;588
571;2021-08-10;14151;3;234;774
572;2021-05-09;27998;2;130;270
573;2023-04-05;41098;3;271;681
574;2023-10-01;34138;1;309;797
575;2021-08-07;29613;3;253;383
576;2020-03-05;6060;5;444;
577;2022-11-21;18575;4;111;478
578;2020-04-28;45058;7;429;279
579;2022-12-09;14043;7;163;88
580;2020-12-15;35941;3;28;522
581;2020-05-16;40838;6;141;
582;2021-09-09;30932;2;67;786
583;2020-12-06;40074;4;376;
584;2022-11-21;36119;2;329;937
585;2020-01-27;5087;6;105;330
586;2023-09-15;125;2;72;797
587;2021-12-05;12991;7;493;322
588;2020-05-05;32895;2;15;
589;2021-09-04;2267;5;357;432
590;2023-08-25;23305;5;141;443
591;2021-08-01;42086;3;419;1
592;2023-10-13;15658;6;278;
593;2022-07-30;43720;2;447;170
594;2021-08-07;31085;2;256;545
595;2022-01-01;47803;5;176;393
596;2022-06-23;26993;5;497;184
597;2020-10-29;49444;3;145;519
598;2021-08-10;17436;4;497;405
599;2022-09-24;14639;7;12;647
600;2023-01-09;12273;1;110;110
601;2021-01-23;45636;7;24;292
602;2023-11-08;16103;3;68;977
603;2023-09-07;10859;6;421;
604;2021-12-09;40999;3;372;760
605;2021-08-26;26503;1;168;
606;2020-04-21;32842;3;164;
607;2022-08-02;27439;3;181;
608;2020-12-23;30948;3;114;504
609;2022-01-03;44947;6;36;282
610;2022-03-19;12886;6;454;887
611;2020-02-12;12780;6;237;
612;2021-05-23;9026;6;282;22
613;2020-01-14;14838;2;389;
614;2023-10-07;17690;6;474;
615;2023-02-14;1281;1;309;
616;2022-12-12;1852;3;101;88
617;2022-03-20;39435;3;492;806
618;2023-08-14;8594;4;234;876
619;2022-11-03;35359;6;9;
620;2022-11-08;22781;6;305;
621;2023-04-05;15128;7;456;
622;2021-05-12;33263;6;124;
623;2023-11-14;37639;7;492;909
624;2021-05-18;47829;1;229;
625;2021-07-13;39815;4;407;396
626;2023-04-14;1390;2;4;
627;2020-05-15;8385;2;217;435
628;2020-12-06;11660;5;211;458
629;2021-01-27;35243;6;131;502
630;2022-04-08;44562;2;59;
631;2023-01-10;31870;2;242;
632;2020-01-13;38133;2;93;119
633;2020-07-19;5369;2;406;493
634;2023-02-17;45227;3;486;133
635;2023-04-25;45531;6;415;102
636;2020-10-06;15956;4;310;503
637;2022-12-21;39654;3;205;143
638;2022-06-21;15572;3;190;556
639;2022-03-20;39467;2;314;936
640;2021-04-02;7997;1;475;565
641;2020-02-03;5796;4;237;780
642;2022-11-05;20843;6;156;
643;2022-02-01;18271;3;427;
644;2022-04-02;43382;1;364;
645;2023-05-24;14349;1;426;343
646;2020-12-02;29622;5;291;
647;2021-07-06;38434;1;185;939
648;2023-10-31;19424;7;151;541
649;2023-02-04;34564;1;319;185
650;2023-04-29;16071;2;394;
651;2020-06-08;32044;4;87;888
652;2020-11-02;47535;7;255;3
653;2023-08-14;19264;3;408;28
654;2021-05-20;25150;3;135;985
655;2022-11-06;32979;6;338;47
656;2020-10-27;16220;7;402;9
657;2023-07-23;23981;7;90;895
658;2022-07-12;36187;5;253;412
659;2020-01-23;11940;4;382;242
660;2020-07-10;37327;5;57;290
661;2023-10-09;44712;3;150;299
662;2023-11-11;44413;3;426;
663;2021-01-26;23273;6;11;100
664;2023-05-17;13020;1;62;166
665;2021-03-19;29383;1;359;
666;2020-01-24;2512;7;303;223
667;2020-02-13;45215;6;90;574
668;2022-08-21;1880;6;325;
669;2023-08-08;20313;1;203;
670;2020-08-22;27465;1;472;583
671;2020-07-27;5350;6;133;
672;2020-10-30;8448;1;276;578
673;2022-11-12;32747;6;303;
674;2023-10-16;9284;2;435;573
675;2023-04-08;3166;7;255;
676;2022-12-07;48869;1;441;950
677;2020-09-11;28386;6;277;893
678;2023-06-10;14331;2;433;695
679;2020-03-16;13533;6;244;
680;2021-01-02;18128;4;287;647
681;2021-03-26;34110;5;367;539
682;2022-10-07;15535;5;369;696
683;2022-12-26;33863;5;483;153
684;2022-03-17;17197;4;254;441
685;2022-10-21;16902;2;306;532
686;2020-04-04;10719;5;145;597
687;2020-10-23;33351;2;31;235
688;2022-09-13;20199;6;293;419
689;2020-03-03;32997;3;418;733
690;2022-03-08;32096;1;12;107
691;2020-01-05;47126;5;112;
692;2021-01-11;6411;1;256;739
693;2023-02-24;21652;7;27;562
694;2022-03-19;16303;2;312;907
695;2021-05-29;27917;7;439;553
696;2023-11-16;12058;6;25;
697;2023-09-16;25662;2;374;942
698;2020-08-21;19605;7;353;417
699;2021-12-05;1996;2;188;804
700;2020-03-06;5111;1;400;
701;2020-06-23;33232;2;127;45
702;2023-04-23;15409;2;75;46
703;2021-12-12;48338;1;242;324
704;2021-11-05;19741;5;270;634
705;2022-10-09;3345;7;321;
706;2022-07-22;5117;2;10;487
707;2020-03-26;3274;7;112;138
708;2020-12-07;13559;5;474;
709;2021-05-15;47609;4;188;928
710;2022-10-22;14450;4;129;
711;2022-06-29;45443;2;123;314
712;2020-11-27;2457;7;36;16
713;2020-05-24;44753;2;211;607
714;2020-03-24;18350;4;39;492
715;2020-12-31;30145;5;465;
716;2021-01-08;41059;5;190;
717;2021-09-30;627;3;397;
718;2020-12-19;7981;6;449;924
719;2020-12-09;30666;6;76;656
720;2023-02-03;39428;4;291;61
721;2022-04-28;47120;4;491;804
722;2022-10-10;13857;3;252;
723;2021-10-29;16297;7;408;905
724;2021-12-06;20389;2;187;926
725;2023-05-29;12128;3;341;
726;2020-05-10;2542;6;404;847
727;2021-04-09;12712;6;227;
728;2021-09-24;41381;1;272;
729;2020-01-16;34201;5;152;
730;2021-08-09;41137;7;473;766
731;2021-01-18;717;2;376;594
732;2020-07-15;42786;5;12;569
733;2023-03-01;31154;4;257;
734;2021-07-26;10626;4;430;390
735;2021-03-17;48624;6;118;
736;2023-05-26;15368;6;373;
737;2023-12-11;33480;5;205;118
738;2020-08-23;43568;5;60;625
739;2020-09-06;6390;5;447;563
740;2021-12-06;23459;5;139;647
741;2020-04-17;8531;4;345;
742;2023-12-14;47696;3;287;
743;2023-10-28;42193;5;483;
744;2022-01-27;42689;6;212;
745;2021-11-25;5569;7;298;
746;2020-09-03;17176;3;339;
747;2022-05-21;32175;2;390;645
748;2020-05-13;29090;2;93;304
749;2023-12-14;20459;5;419;87
750;2023-04-01;17721;3;214;163
751;2023-03-11;33225;4;221;447
752;2020-11-09;27653;4;100;
753;2022-11-06;26381;3;158;778
754;2023-03-24;23257;1;232;679
755;2021-11-09;5791;3;45;665
756;2021-02-10;27531;1;51;
757;2020-08-03;36512;3;6;606
758;2021-10-04;18112;3;161;23
759;2021-10-12;5897;5;306;407
760;2022-01-30;40160;1;127;
761;2022-11-17;17852;7;349;865
762;2023-12-30;8899;7;387;
763;2023-12-29;13819;5;6;4
764;2020-11-20;28407;6;497;
765;2023-05-15;1110;6;194;
766;2021-08-26;37011;4;175;42
767;2022-03-09;27665;7;315;673
768;2020-08-25;37257;5;62;
769;2022-03-11;36770;2;111;
770;2022-09-21;9157;1;134;
771;2022-03-03;44138;3;117;
772;2022-05-16;23297;5;400;
773;2023-07-04;46453;7;106;
774;2020-09-19;8683;5;426;
775;2021-04-19;8272;3;441;239
776;2023-03-01;37796;3;275;756
777;2020-07-16;38678;3;192;
778;2021-05-05;9055;4;33;
779;2022-11-09;11007;2;209;
780;2020-08-18;1042;5;334;
781;2023-01-30;42228;5;331;1
782;2023-03-22;29607;1;335;400
783;2023-10-06;679;7;494;75
